NODES,10
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
ARCS,60
0,1,2,100,2567,1805,4668,467
1,1,7,92,1207,11,2195,878
2,1,8,83,1797,26,3268,1308
3,1,10,29,2054,29,3735,1121
4,1,6,80,1233,33,2242,673
5,2,3,100,2567,1805,4668,1868
6,2,9,44,360,9,655,131
7,3,4,100,2567,1805,4668,1868
8,3,1,55,1335,48,2428,729
9,3,5,97,2105,18,3828,1532
10,3,10,12,2003,9,3642,1821
11,3,7,41,1284,22,2335,467
12,3,2,93,1335,60,2428,486
13,3,9,37,2362,54,4295,1718
14,3,8,85,1361,47,2475,990
15,3,6,47,1926,60,3502,1751
16,4,5,100,2567,1805,4668,467
17,4,7,58,2054,22,3735,1868
18,4,10,93,2259,39,4108,1233
19,4,3,47,1233,24,2242,1121
20,4,6,74,540,68,982,393
21,4,8,90,1592,26,2895,869
22,5,6,100,2567,1805,4668,1868
23,5,4,90,745,36,1355,271
24,5,7,96,950,8,1728,519
25,5,1,21,1335,36,2428,729
26,5,8,47,514,7,935,374
27,6,7,100,2567,1805,4668,467
28,6,4,27,565,27,1028,206
29,6,2,86,411,25,748,75
30,6,3,43,2465,61,4482,897
31,6,9,39,2157,51,3922,1961
32,6,1,42,1104,22,2008,402
33,7,8,100,2567,1805,4668,934
34,7,1,63,2542,33,4622,1849
35,7,5,97,1361,49,2475,248
36,7,6,60,1130,34,2055,822
37,7,9,76,1310,37,2382,953
38,7,3,88,437,16,795,398
39,7,2,11,1772,48,3222,1289
40,7,4,38,2285,60,4155,416
41,8,9,100,2567,1805,4668,2334
42,8,7,32,1643,63,2988,598
43,8,2,25,1104,33,2008,201
44,8,4,47,2234,61,4062,1219
45,8,5,79,1618,36,2942,295
46,8,10,15,1361,57,2475,743
47,9,10,100,2567,1805,4668,467
48,9,6,58,1156,52,2102,631
49,9,4,84,591,52,1075,538
50,9,2,82,2080,65,3782,379
51,9,3,85,463,34,842,85
52,10,1,100,2567,1805,4668,2334
53,10,6,24,1720,27,3128,1564
54,10,5,25,1412,63,2568,257
55,10,9,73,2542,20,4622,2311
56,10,8,22,437,8,795,239
57,10,3,23,2413,27,4388,878
58,10,2,38,1900,9,3455,1728
59,10,4,52,1438,13,2615,785
COMMODITIES,50
0,10,6,71,607,4990,0.528,22
1,1,2,32,2005,6475,0.238,10
2,7,10,78,1426,7596,0.580,23
3,10,4,40,1494,5452,0.298,13
4,6,8,53,1810,6943,0.395,17
5,3,1,80,856,4894,0.595,24
6,8,4,57,1259,6051,0.424,18
7,4,3,72,979,4907,0.536,22
8,3,5,57,1474,7171,0.424,18
9,9,7,73,1236,5507,0.543,22
10,10,7,36,1419,6584,0.268,12
11,1,4,22,1042,6253,0.164,8
12,2,3,93,610,4088,0.692,28
13,3,4,95,2596,8671,0.707,28
14,10,8,27,915,3062,0.201,9
15,10,3,37,563,6332,0.276,12
16,6,5,33,715,7960,0.246,11
17,2,4,94,206,3014,0.699,28
18,6,10,19,1107,8047,0.142,7
19,1,7,59,914,4728,0.439,18
20,1,10,17,936,6458,0.127,6
21,8,2,91,892,4161,0.677,27
22,10,2,53,1416,5655,0.395,17
23,1,9,73,1472,6934,0.543,22
24,7,6,55,1431,4676,0.409,17
25,9,8,71,1553,5791,0.528,22
26,8,6,92,1395,7991,0.685,27
27,9,4,32,1419,4345,0.238,10
28,9,6,46,1001,4903,0.343,14
29,7,1,69,1126,5597,0.514,21
30,5,9,27,1294,6234,0.201,9
31,3,8,36,1371,5153,0.268,12
32,6,4,37,625,2619,0.276,12
33,8,7,13,894,5428,0.097,5
34,8,9,71,0,3711,0.528,22
35,8,5,15,985,5708,0.112,5
36,8,1,48,1468,8511,0.357,14
37,5,8,71,1710,4217,0.528,22
38,7,3,96,1096,3319,0.714,28
39,4,10,30,1393,7423,0.224,10
40,5,1,63,536,4564,0.469,19
41,3,7,75,1293,5393,0.558,23
42,6,3,13,1056,5099,0.097,5
43,2,1,76,666,6042,0.566,23
44,1,6,83,1315,5041,0.618,25
45,5,10,24,1101,6043,0.179,8
46,5,3,26,1716,5426,0.194,9
47,1,3,10,1705,6163,0.075,4
48,9,1,27,1016,6136,0.201,9
49,3,2,72,568,4539,0.536,22
